# 虹桥会展中心附近Portal坐标
# 中心位置: 31°12'40.1"N 121°18'47.0"E (31.211139, 121.313056)
# 格式：name,lat,lon

维也纳国际酒店,31.212500,121.314200
虹顺商业广场,31.212800,121.314500
喷泉雕塑,31.213000,121.314800
天山西路4358弄,31.210500,121.312000
申长路Portal1,31.211500,121.315000
又一个小喷泉,31.210800,121.315200
申滨路Portal1,31.209500,121.313500
申滨路Portal2,31.209800,121.313800
张正浦桥Portal,31.214000,121.312500
红毒,31.211200,121.311500
把鲜花献给尊敬的人,31.210200,121.311800
会展中心Portal1,31.212200,121.313500
会展中心Portal2,31.212500,121.313800
会展中心Portal3,31.212800,121.314000
商业区Portal,31.211800,121.314500

