# 紫荆雕塑园Portal坐标（参考multi-field项目）
# 格式：name,lat,lon

Portal1,40.008008,116.327477
Portal2,40.008102,116.326605
Portal3,40.008034,116.325578
Portal4,40.008151,116.327164
Portal5,40.008393,116.326263
Portal6,40.008131,116.326011
Portal7,40.008129,116.326349
Portal8,40.008224,116.326805
Portal9,40.008519,116.326469
Portal10,40.008006,116.326991
Portal11,40.009154,116.327023
Portal12,40.007761,116.324901
Portal13,40.008720,116.325757
Portal14,40.008616,116.325533
Portal15,40.007854,116.324331
Portal16,40.009195,116.326570
Portal17,40.009746,116.325990
Portal18,40.008455,116.325360
Portal19,40.008082,116.325288
Portal20,40.008239,116.325485
Portal21,40.008396,116.325855
Portal22,40.008077,116.324930

